être			Etre			ETRE
enterrement		Enterrement		ENTERREMENT
entourage		Entourage		ENTOURAGE
entraînement		Entraînement		ENTRAÎNEMENT
entraver			Entraver			ENTRAVER
entrer			Entrer			ENTRER
enveloppe		Enveloppe		ENVELOPPE
envier			Envier			ENVIER
environ			Environ			ENVIRON
envoyer			Envoyer			ENVOYER
épingle			Epingle			EPINGLE
éponge			Eponge			EPONGE
époque			Epoque			EPOQUE
épouse			Epouse			EPOUSE
éprouver			Eprouver		EPROUVER
espérer			Espérer			ESPERER
essayer			Essayer			ESSAYER
établir			Etablir			ETABLIR
étage			Etage			ETAGE
été			Eté			ETE
éteindre			Eteindre			ETEINDRE
étonné			Etonné			ETONNE
étranger			Etranger			ETRANGER
étudiant			Etudiant			ETUDIANT
éviter			Eviter			EVITER
éventuel			Eventuel			EVENTUEL
exagérer			Exagérer		EXAGERER
examen			Examen			EXAMEN
exceptionnel		Exceptionnel		EXCEPTIONNEL
excuser			Excuser			EXCUSER
exemple			Exemple			EXEMPLE
exercice			Exercice			EXERCICE
existence		Existence		EXISTENCE
exister			Exister			EXISTER
expérience		Expérience		EXPERIENCE
expliquer		Expliquer		EXPLIQUER
exploiter			Exploiter		EXPLOITER
expression		Expression		EXPRESSION
extérieur			Extérieur		EXTERIEUR
externe			Externe			EXTERNE
faible			Faible			FAIBLE
facile			Facile			FACILE
facture			Facture			FACTURE
faim			Faim			FAIM
faire			Faire			FAIRE
famille			Famille			FAMILLE
fatigué			Fatigué			FATIGUE
faute			Faute			FAUTE
faux			Faux			FAUX
fédération		Fédération		FEDERATION
femelle			Femelle			FEMELLE
femme			Femme			FEMME
fenêtre			Fenêtre			FENÊTRE
fermer			Fermer			FERMER
fesses			Fesses			FESSES
fête			Fête			FÊTE
feuilleter			Feuilleter		FEUILLETER
ficelle			Ficelle			FICELLE
fièvre			Fièvre			FIEVRE
fille			Fille			FILLE
film			Film			FILM
fini			Fini			FINI
finir			Finir			FINIR
fixe			Fixe			FIXE
fondation		Fondation		FONDATION
fonder			Fonder			FONDER
formation		Formation		FORMATION
formidable		Formidable		FORMIDABLE
formule			Formule			FORMULE
four			Four			FOUR
fourchette		Fourchette		FOURCHETTE
foyer			Foyer			FOYER
fracture			Fracture			FRACTURE
fragile			Fragile			FRAGILE
frais			Frais			FRAIS
français			Français			FRANÇAIS
franchement		Franchement		FRANCHEMENT
frère			Frère			FRERE
freiner			Freiner			FREINER
froid			Froid			FROID
fruits			Fruits			FRUITS
futur			Futur			FUTUR
gagner			Gagner			GAGNER
gants			Gants			GANTS
garage			Garage			GARAGE
garçon			Garçon			GARÇON
garder			Garder			GARDER
gâteau			Gâteau			GATEAU
gêner			Gêner			GÊNER
genou			Genou			GENOU
gens			Gens			GENS
gentil			Gentil			GENTIL
gérer			Gérer			GERER
geste			Geste			GESTE
glace			Glace			GLACE
gorge			Gorge			GORGE
gourmand		Gourmand		GOURMAND
goûter		Goûter		GOÛTER
gouvernement		Gouvernement		GOUVERNEMENT
grammaire		Grammaire		GRAMMAIRE
grand		Grand		GRAND
grandir		Grandir		GRANDIR
gratuit		Gratuit		GRATUIT
grave		Grave		GRAVE
grève		Grève		GREVE
gris		Gris		GRIS
grossir		Grossir		GROSSIR
groupe		Groupe		GROUPE
guerre		Guerre		GUERRE
habiller		Habiller		HABILLER
habiter		Habiter		HABITER
habitude		Habitude		HABITUDE
haïr		Haïr		HAÏR
handicapé		Handicapé		HANDICAPE
hasard		Hasard		HASARD
hasardeux		Hasardeux		HASARDEUX
hésiter		Hésiter		HESITER
heure		Heure		HEURE
heureux		Heureux		HEUREUX
hier		Hier		HIER
histoire		Histoire		HISTOIRE
hiver		Hiver		HIVER
homme		Homme		HOMME
honnête		Honnête		HONNÊTE
honte		Honte		HONTE
hôpital		Hôpital		HÔPITAL
humide		Humide		HUMIDE
hypocrite		Hypocrite		HYPOCRITE
hypothétique		Hypothétique		HYPOTHETIQUE
